dataset,exercise_set,question,answer,grade,min_grade,max_grade,subject,exercise_type,isced_level,language,rubric,desired_answer,metadata
mohler,3,What are the main advantages associated with object-oriented programming?,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.  Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",5,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
mohler,3,What are the main advantages associated with object-oriented programming?,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",5,1.0,5.0,computer_science,short_answer,6,english,,Abstraction and reusability.,
mohler,4,Where do C++ programs begin to execute?,At function ‘int main ()’,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,the Function main().,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,c++ programs begin to execute in the main method.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,A C++ program will begin to execute at the main() function.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,They begin in the main() function.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,Int main(),5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,main method,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,in the testing phase,0,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,#NAME?,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,main,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,They begin to execute at the funcion main().,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,The main method.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,In the main() function.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,C++ programs begin execution at main.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,In the Main function..?,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,"At the ""main()"" function",5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,The main function.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,The function main,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,"After loading the required include statements and libraries, the main method begins the execution.",5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,main function,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,main,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,C++ programs begin execution at the main function.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,At main,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,they beging to excute at main,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,at the main function  int main() {},5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,C++ programs begin execution at the main function.,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,"in the ""main"" function",5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,4,Where do C++ programs begin to execute?,Within the main function,5,1.0,5.0,computer_science,short_answer,6,english,,At the main function.,
mohler,5,What is a variable?,A variable is a location in memory where a value can be stored.,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,"A variable is a location in the computer's memory where a value can be stored for use by a program. Each variable has a name, a value, a type and a size.",5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,A variable is a location in the computers memory where a value can be stored for use by a program,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,a block of memory that holds a specific type of data,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,It is a location in the computer's memory where it can be stored for use by a program.,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,A location in memory where value can be stored.,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,a value/word that can assume any of a set of values,3,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,"A variable is the memory address for a specific type of stored data, or from a mathematical perspective, a symbol representing a fixed definition with changing values.",5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,A variable is a value that is subject to change in a computer's memory that can be used by programs.  Programs can change the value of the variable and recall it later or act on it directly.,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,location in memory where a value can be stored,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,Location in memory where a value can be stored.,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,it is a location in memory where value can be stored,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,A variable is the location in a computer's memory where a value can be stored for use by a program.,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,A variable is a location in a computers memory where a value can be stored   for use by a program.,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,a location in memory where data can be stored and retrieved,5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,5,What is a variable?,"Is a method or identifier I would say,  we use to bind a data object to memory location; which is then stored in a location that can be accessed when and manipulated later when the variable name is called. ",5,1.0,5.0,computer_science,short_answer,6,english,,A location in memory that can store a value.,
mohler,6,Where are variables declared in a C++ program?,"Local variables are declared inside the method or function they will be used in at the beginning of the method. Global variables are declared outside of any function or method, generally before functions are defined.",5,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,"They can be declared globally just before the main method (but also outside of it)... or variables can be subject to only the method they're scoped within, but would still be declared at the beginning of that method (but inside of it).",5,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,local variables are declared inside the method while global variables are declared in the body.,5,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.,5,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,After declaration of the variable's data type.,1,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,"anywhere in the code, can be at the top, or in the middle of the code, or anywhere.",3,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,Before they are used.,2,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,inside the function scope and outside of the function scope in case of global variables,5,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,6,Where are variables declared in a C++ program?,"Variables are usually declared at the very beginning of a C++ program, but can be declared any in the program as long as they appear before they are called upon.",4,1.0,5.0,computer_science,short_answer,6,english,,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),
mohler,7,What is the main difference between a while and a do...while statement?,do...while statements evaluate whether or not to loop after running the block contained within it at least once. So the main differance is that while statements have a possibility of never being used. Do ... while statements on the other hand are always run at least once before evaluating whether to run again.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"The main difference between a while and a do...while loop is that the do...while loop always cycles through the loop at least once, but the while loop does not always do so.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,While loop used to execute a block of code as long as some condition is true.  A do...while loop used to execute a block of code as long as some condition is satisfied.  The difference between while and do...while is while loop tests its condition before the execution of its contents and the do...while loop tests its condition after the execution of its contents at least once.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"The termination condition of a do...while statement is usually at the end of the loop so it will run at least once. As for the while statement, if the condition is false to begin with, then the loop will never run.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"A while statement will test the condition of the while loop FIRST - there is a chance the loop will never run. A do...while loop will ALWAYS run once, and then the while test will determine if it will run again.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,a do while loop always executes once. A while loop's conditional statement has to be true for it to run.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,#NAME?,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"while statements will evaluate the statement BEFORE executing a cycle of the loop, including the first cycle, meaning that a while loop will not always execute. A do...while will run evaluate the statement AFTER running through a cycle of the loop, ensuring that the loop always executes at least one time.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,The main difference between a do and a do...while statement is in a do...while statement is the statements in a do block are always executed atleast once.   The while statement will only execute if its condition is true.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"a while statement will only process if the statement is met, while a do...while will always process once, then only continue if the statement is met.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"Do ...while runs the embedded code at least once, the do command does not necessarily",4,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"While tests for true first before running, do...while runs once first before checking.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,A do...while statement's body always executes at least once.  Where as a while statement will not execute at all unless the condition for the while is true.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,The statements within the block of the do while loop will always be executed at least once regardless of the conditions. Whereas the while loops may never be executed if the conditions are not met.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"a do... while loop will always run through once, while an while loop performs a test before running through the loop.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,A while statement tests the condition before it can start. A do...while statement loops through once before the condition is tested.,5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"While loop evaluates its expression at the top of its loop and decides if it needs to execute, and the do-while always executes at least once and then evaluates its expression at the bottom of its loop.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"A do...while statement will always execute the ""do"" piece of code at least once before checking the condition. A while statement will always check the condition first.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"A do-while passes atleast 1 time before checking the condition, however, a while would fail to enter the loop if the condition fails in its first place.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"a while loop checks if the condition is true or not first, if it was true, it excutes the statement. a do.. while loop executes the statement before it checks the condition. if the condition was true it would excute the statement again. so a do...while loop would excute the statement atleast once.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,NO ANSWER,0,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"A do...while loop will always execute atleast once, a while loop may never   execute depending on teh conditions.",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"a while loop is pre-check (it checks the condition statement before it executes the code within the while block)  a do while loop is post-check (it checks the condition AFTER the block executes, it runs at least once no matter what the condition statement is)",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,7,What is the main difference between a while and a do...while statement?,"))     What is the main difference between a while and a do...while statement? The do while construct consists of a block of code and a condition. First, the code within the block is executed, and then the condition is evaluated, this is done until it is proven false. The difference between the While loop is it tests the condition before the code within the block is executed. ",5,1.0,5.0,computer_science,short_answer,6,english,,The block inside a do...while statement will execute at least once.,
mohler,8,What is typically included in a class definition?,The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.,4,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,Information telling the compiler what data members and member functions belong to the class.,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,"Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({}). ",5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,data members and member functions.,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,A class definition usually contains the function and its data members,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,Data members and member functions,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,Member functions and data members belonging to the class.,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,A class definition typically includes function definitions.,3,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,"It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class's definition.",5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,Member functions and data members.,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,member funtions and data members,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,Data members and Member functions,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,data members and member functions,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,data members and member functions,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,functions and data members that belong to the class,5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,8,What is typically included in a class definition?,"class variables, function definitions for the class",5,1.0,5.0,computer_science,short_answer,6,english,,Data members (attributes) and member functions.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,A local variable cannot be accessed outside the function in which it is declared. Data members normally are private. Variables of functions declared private are accessible only to member functions of the class in which they are declared.,5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,A variable inside a member function can only be accessed inside that member and a data member can be accessed throughought the program.,5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,"local variables can only be used within the function, where as data members can be set to public access and can be used throughout",5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,"data member is accessible to all functions in the class, where local variable is only available to the member function and value is lost when function closes",5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,"Local variables cannot be used outside of that function body. When a function terminates the values of its local variables are lost. Where as data members are variables in a class definition, and they exist throughout the life of the object. ",5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,"a local variable is only useable within the function it is defined, whereas a data member is available to any method within its class",5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,Variable declared in a function defination's body cannot be used outside of that function.  Data members accessible only to member function of that class.,5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,9,What is the difference between a data member and a local variable inside a member function?,"A data member is accessible anywhere in the class, while i local variable in a member function is only accessible in that particular function, and is freed after the function exits.",5,1.0,5.0,computer_science,short_answer,6,english,,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,
mohler,10,What is the difference between a constructor and a function?,"Unlike regular functions, constructors are only used to initialize an object’s data when it is created. Constructors must also be given the same name as the class and cannot return any values. ",5,1.0,5.0,computer_science,short_answer,6,english,,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",
mohler,10,What is the difference between a constructor and a function?,"A constructor is automatically called whenever an instance of a class is created, a function must be explicitly called by the user. ",4,1.0,5.0,computer_science,short_answer,6,english,,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",
mohler,10,What is the difference between a constructor and a function?,"A constructor sets up the default values of variables when an object is instantiated, whereas a function allows interaction with that object.",4,1.0,5.0,computer_science,short_answer,6,english,,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",
